task_language;rider_ml_message
"""en""";"""Hello i want to fill a complen"""
"""ru""";"""Сорри, забыла ответить. Никто не пострадал, даже автомобили. Водители остались разглядывать царапины на бамперах"""
"""ru""";"""спасибо , что вернули денежные средства , но нет водитель не приехала на ту точку которая была указана на карте"""
"""ru""";"""Спасибо большое деньги вернулись"""
"""ru""";"""Спасибо большое за оперативную помощь"""
"""ka""";"""მადლობა დიდი"""
"""uz""";"""Assalomu alaykum"""
"""uz""";"""Assalomu alaykum Yolkirani naq pul bn tolamoqciman"""
"""ru""";"""Спасибо большое за помощь"""
"""ru""";"""Спасибо большое за помощь"""
"""ka""";"""დამიკავშირდით"""
"""es""";"""Espero realmente tomen cartas en el asunto. Si bien indican que “se aplicará una sanción” ojalá el caso sea investigado, pues no ofrecen una solución concreta ni una medida clara respecto al perjuicio ocasionado. Además, no hubo una verdadera atención personalizada frente este hecho, la demora generada y el incumplimiento del servicio aceptado. Como usuaria, esperaba una respuesta más seria, empática y resolutiva."""
"""ru""";"""спасибо большое хорошего вам дня"""
"""ru""";"""Спасибо большое! Деньги вернулись на карту"""
"""ru""";"""Спасибо большое! Извините, а деньги я могу тратить только на поездки? Вывести обратно я их не могу?"""
"""hy""";"""Դուք ձեր վարորդներին ընտրելուց միայն ավտոմեքենայի մոդելին եք նայում չեմ հասկանում"""
"""uz""";"""Kecha tunda men uyimga keldim kartam ulangan edi"""
"""hy""";"""Barev dze es kes jam a dzer chaterin grum em chen oatasxanum"""
"""ur""";"""Is rider nay mujhay ayk ghanta road par zaleel Kiya Meray pass pohanchnay sai pehlay b na maqool sawalat krta RHA Mainay online location Dali Islay alawa famous land mark b har call par batata RHA mgr yango rider mujhay musalsal gumrah krta RHA Yaha Aao waha Aao Kbi bolta k pso petrol pump ajao kabi Kuch Mujhay Bola k tum gadhay ho Apnay is tra k rider apni company mein rakhay huye hein jinko cheating or badtameezi krnay k liye rakha Yango company sai MERI request hai isko bhari jurmanay krein or isko blacklist krein foran Thanks"""
"""ru""";"""спасибо большое!"""
"""en""";"""I just bookes ride for township I did not see rider coming up and it seems like he completed the ride and did not show.up"""
"""es""";"""Hola que tal Quería llamar al socio"""
"""fr""";"""Bonsoir  L'un de vos chauffeurs a été impoli avec moi. Non seulement il dépasse l'arrêt de prise en charge et on lui fait signe il ne s'arrête pas.  Il va je ne sais où et m'appelle j'ai raccroché et annulé la course il m'envoie un message pour m'insulter."""
"""ru""";"""Спасибо большое"""
"""ro""";"""Șoferul nu sa prezentat"""
"""sr""";"""Причина эскалации: Urgent  Телефон для связи: +381 65 2007912  Телефон, указанный в заказе: +381 65 2007912  Дата поездки: 2026-05-14  Время поездки: 16:54h  Комментарий: vozač kaže da nema čitač stranka nema da plati vožnju a obeležen je čitač u porudžbini"""
"""ru""";"""Спасибо большое"""
"""en""";"""My friend forget his phone in yandex taxi"""
"""fr""";"""Je suis sûr d’avoir laissé mon gobelet en Thermos dans le taxi le chauffeur me Dit que non"""
"""ru""";"""Спасибо большое"""
"""en""";"""Dear Yango Support Team, Thank you for your reply, but I am not satisfied with the explanation or the resolution provided. Key Issues with this trip:  The driver knew there was a problem with the trip status and final destination, but he deliberately did not inform me to change or update the final stop in the app. He continued driving without helping to fix it.  This caused the fare to suddenly jump from around 91 AED (shown during the trip) to 164 AED after completion.   It appears the driver did this intentionally so he could earn more money from the higher fare.  I was dropped off in Sharjah, yet the app still showed the airport route even after drop-off, which is clear proof of incorrect trip handling. 6.  The promo code you sent (85dub249308238684853) is not working — the app gives an error when I try to apply it. This was not a small system mistake. The driver’s refusal to help correct the stop and trip status caused significant overcharging. My Request: •  Please review the full GPS data, timestamps, and driver actions for this trip. •  Refund the excess amount charged (around 73 AED). •  Issue a proper refund to my wallet or payment method instead of an invalid promo code. •  Take appropriate action against the driver for deliberately not helping the passenger and manipulating the trip for higher earnings. Please treat this matter seriously and resolve it fairly at the earliest. Thank you."""
"""az""";"""Salam mən şəxsi avtomobilimlə kuryer işləmək isdeyirəm"""
"""hy""";"""Բարև ձեզ իմ հաշվին պարտք է ցույց տալիս խնդրում եմ հանեք ես չեմ օգտվել տաքսիից"""
"""ur""";"""Ap Ap Ko Chahiye Mere Liye Kuch Rides Gift Karein .."""
"""az""";"""Salam bu gedisde gozleme olmayib, catmamis vurub ki catib, ancaq gozleme olmayib"""
"""uz""";"""Salom"""
"""ar""";"""مرحبا"""
"""es""";"""Buenas tardes, quiero solicitar la devolución de dos tarifas automática de nequi y los conductores me cobraron en efectivo Espero respuesta"""
"""es""";"""Buen día Acabo de observar que pagué el viaje con tarjeta y también con efectivo (pagué doble)"""
"""en""";"""Hi Live agent please Hello, this is not emergency How can I contact the customer service of Yango please? There are no options on the app Yes please"""
"""en""";"""hello"""
"""en""";"""Hello taxi didnt pick me up And he left the location"""
"""ru""";"""Спасибо большое"""
"""fr""";"""La police a arrêté le chauffeur Il n’y a pas d’accident  Juste un policier qui a arrêté le yango"""
"""az""";"""77УQ138 salam bu surucunuz mene gelmeyeceyini bildirib ve otmen etmeyimi isteyir Menle arasinda olan mesafe 4 dq gosterse bele legv etmeyimi teleb edir"""
"""en""";"""Iam telling you find the driver"""
"""fr""";"""J'ai commandé un yango le chauffeur m'a dit d'annuler"""
"""ka""";"""მძღოლი  არ მოვიდა დანიშნულების წერტილზე, გარეთ ველოდებოდი ბავშვით და უარი განაცხადა დანიშნულების ადგილზე მოსვლაზე, ატანხა აცამომეჭრა. გთხოვთ დამიბრუნოატ თანხა უკან. მძღოლი იყო უზრდელი 😡🤬"""
"""uz""";"""Hop qarz nima boladi?."""
"""ru""";"""спасибо большое"""
"""en""";"""Hello"""
"""ru""";"""Спасибо большое"""
"""ru""";"""Спасибо большое."""
"""en""";"""M"""
"""es""";"""Ya me respondió muchas gracias"""
"""ka""";"""gamarjobat mdzogli sxva adgilas mivida ver mivageni arc mipasuxa tanxa chamomechra gtxov daabrunot ukan"""
"""ru""";"""Спасибо большое..!!!  Мы всегда высоко оцениваем Яндекс такси..!!! Поэтому и выбраем именно Яндекс"""
"""ru""";"""Спасибо вам большое за помощь.  Сейчас уже не отображается на верхней части Яндекс такси.  Вы молодцы Спасибо ещё раз что сразу же решаете наши проблемы"""
"""ur""";"""Hi mujy driver ki complain krni hai"""
"""fr""";"""bonjour comment être chauffeur de taxi yango chez vous ?le mar. 3 févr. 2026 à 14:13, support <support@yango.com> a écrit :> le sms a été envoyé sans erreurs.veuillez essayer de suivre les> recommandations standard :>> 1. allumez et éteignez le \""mode vol\"";> 2. redémarrez le téléphone, videz la mémoire des messages non pertinents> et testez à nouveau la réception des sms.>> si les problèmes persistent, vérifiez l’envoi du sms en insérant une carte> sim dans un autre téléphone mobile qui fonctionne évidemment. si le> problème persiste, l’utilisateur doit contacter l’opérateur, de qui il peut> confirmer la livraison réelle en demandant un relevé de circulation.>> si vous avez besoin de quoi que ce soit d'autre, mon équipe et moi serons> là pour vous aider, n’hésitez pas à nous contacter.>> je vous souhaite une agréable journée.>> yango support team>"""
"""ka""";"""გამარჯობა"""
"""en""";"""Hello, the issue i had woth this ride, is that the map showed me that the driver went around twice, then stopped on the opposite side of the road, started the wait time early. I called him telling him that I was in front pf converse bank, he said that i picked up the wrong road, which is a clear lie. Because he started the wait time early he had to go around again, and because of that i had to pay for the wait time which was not my fault. I demand a refund to resolve the issue."""
"""en""";"""I’m not happy with your service because when i booked the cargo its shows everything like movers help to move etc but driver called me and asked me you select the wrong item but I didn’t I have a prove as a screen shot and driver said if you increase the payment then I’ll do it for you and I cancelled the ride because this is not right 1st  the driver done then last minute he changed his mind"""
"""es""";"""El pago no le cae al conductor"""
"""en""";"""Hello, why is my issue still not resolved"""
"""hy""";"""Բարև ձեզ, իմ քարտից երկու անգամ է գումարը քաշել, բայց տարբեր ժամերի։ ուրիշ պատվեր չեմ արել և քարտը ուրիշ ոչ մի տեղ կցված չէ"""
"""hy""";"""Բարև Ձեզ ։ Տվյալ տաքսիստը դեռ չհասած արդեն նշել էր որ հասել է, ու զանգել թե հասնում եմ, սպասել եմ ուղիղ 5 րոպե, այն էլ փոքր երեխայի հետ կանգնած, գումար է ինձնից գանձվել ու արդեն ջղայնացած չեղարկել եմ տաքսին։ երբ ցանգել էր խաբել է թե բակում եմ դու չկաս։ Ահավոր ջղայնացած եմ, ես կոմֆորտով եմ կազմակերպում տաքսիս որպեսզի փոքրիկի հետ հեմտ լինի։ Փաստորեն դա էլ օգուտ չէ։"""
"""ru""";"""спасибо Вам"""
"""es""";"""Aún no puedo"""
"""es""";"""Buenas tardes Cual es la solución?"""
"""es""";"""En enlace qie me envías no funciona"""
"""en""";"""Helo This rider didn't return my money He took my easypaisa But didn't return my money"""
"""az""";"""Niyə atqaz etməyimi istəyir gəlib yaxnlaşmışam gedə bilmərəm atqaz edin deyir özüdə atqaz etmir Niyə reytinqimi salırsız sora? Hansı səbəbə"""
"""en""";"""Driver number"""
"""fr""";"""Bonsoir svp je suis arrivée il y a 5 mins mais la course est toujours en cours"""
"""fr""";"""Bien le bonsoir. J'aimerais savoir si l'attente est payante??"""
"""en""";"""Your driver change 400 dram"""
"""ur""";"""? yar ajeeb loug hai"""
"""ru""";"""Спасибо вам."""
"""ka""";"""გამარჯობა!"""
"""en""";"""Your drivers took forever to return the change i payed 200rs and waited for change but he was taking time I couldn’t wait thus i left my money Why dont you allow drivers to add change in riders account"""
"""ru""";"""Спасибо за ваш червиз и за работу"""
"""en""";"""I just booked  a ride for my son from surat street to Hassan center ….it was for 443 after reaching the destination the rider harassed my son and demanded 600 he also called me and misbehaved because my son was with him I couldn’t do anything and had to transfer him 500 … plz take notice of this asap This is not the first time when ever kids travel alone this happens…"""
"""en""";"""How can I order an express ride And the rider will be given different orders to deliver before he comes to me The rider have been 50 minutes away for about 40minutes now"""
"""en""";"""Salam"""
"""he""";"""הנהג טען שהוא פה והוא לא, גם לא עונה לטלפון, מהר תזכו אותי על ה6₪ האלה דמי ביטול ביזיון של נהג"""
"""ur""";"""Maine ride book ki thi from naseer hospital to shaikhzayed and then to dha. Rider ne during ride paid waiting mode on kiya. And even when i was sitting in the car the fare was increasing until i asked him to stop the car and the fare was still increasing. Then he stopped it. i was given a promo code as a compensation. And it was 75 pkr off on two rides. And i was only able to use it for one ride and not for the 2nd ride. It says limit reached. Although i used it on one ride. And its been two days and i haven’t received any resolution of my issue. Aur still aj bhi its been 7 hours and they still haven’t responded to me. Okay"""
